"Geno","TRS_kg_per_Mg","CYMg_per_ha","Population","Dia","Brix","Fiber","SW_kg","Sucrose..","Moisture","Pol..Reading","Purity"
"3041-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3041-3",46.2166119866481,40.9325927812094,131690.741048511,14.3945069309601,11.9259686845928,24.768344672184,0.312789069335145,7.67656163985449,67.4125166412578,31.933087432188,63.0311539655009
"3042-2",44.1816927161695,24.9385110630011,52049.7162558752,16.3315102695937,11.18550864632,20.5005186293445,0.432183013975795,7.26309748204754,71.269942427367,30.229907309478,61.6609338530626
"3043-2",50.2629117831998,50.9336031879454,204456.221996085,13.4761429416482,12.1670293987138,23.7566323689755,0.269588619815942,8.12652337908883,67.871941441634,33.875019446211,64.7680351203442
"3043-3",56.603878438473,38.4992417487246,119927.429042125,14.9179473632634,12.4445073536682,25.1277358033629,0.322619046744018,8.7837566892987,66.6237244022236,36.7144529697803,67.3443928721799
"3043-8",51.0926516237514,56.050411604808,160613.05195052,14.0199829968344,12.3707182577598,24.8649627673012,0.335538427178349,8.2537214127089,67.0525871477628,34.4833434568853,64.4287780469656
"BADILLA",82.7679854097321,28.8971686027784,59534.3684601243,26.4826854879812,15.9206764001797,13.8242836515244,0.510382053381145,12.2292608865297,72.849866917298,51.836459382938,75.7760594285085
"CG 96-52",117.917283100457,42.1451099146251,84387.3569715808,15.7790981404928,19.8093957135808,13.8423473426485,0.602313700649593,16.6335012244757,69.280248127395,71.8024809058195,82.7157356704144
"CHIN",91.9847614980514,39.916372094153,78945.3055111466,18.7748628660255,16.9423472866526,13.3018919090751,0.522878811603659,13.3844435390355,72.0173131691897,56.9567728133921,77.8855283451996
"CHINA",91.1490132508023,16.2005275484147,61071.4640498088,14.5896441574756,17.0260293399062,17.4755215812657,0.252643598413153,13.328173696422,69.0074831895497,56.7551729269777,77.1647483103868
"CHUKCHE",85.754112541866,22.5697726927555,57306.3428063202,17.1383637968527,16.3079626584795,13.7581013401369,0.41574371181703,12.6222888907915,72.2189787045635,53.5447675575079,76.1226019618136
"CP52-068",117.164838318275,33.8283163393482,43853.7333797633,22.7497952064732,19.1979865477527,12.0535312211646,0.789461141082725,16.3797987114137,70.7811672577408,70.5237090843758,84.0516000187616
"CP72-370",125.940101253463,67.3287455655203,82599.0005403481,23.5179588987987,20.5137481863215,12.6231065466583,0.82679934127941,17.5773711160512,69.3346932930072,76.095022720333,84.6767604056231
"CP74-383",116.131283408376,63.1730343520719,70019.9582738589,23.0701815038568,19.1900098524642,11.3610930212091,0.862602138078567,16.2880905428134,71.4717362034895,70.0500477947937,83.6530860378557
"CP77-407",121.782257363573,34.6312820208611,48277.7421115832,22.5280102374941,20.1282809803349,11.7267956420271,0.697174079188439,17.0824867559875,70.374792087097,73.8014193517802,83.7670890252072
"CP79-318",117.695426323568,39.6947304109084,52314.5371009302,22.5188693917973,19.6946836586102,12.5466506713804,0.767462010343903,16.574362453253,70.3992163424549,71.4703390360777,83.0293873261635
"CP79-348",120.59250187598,58.7833654100663,65299.7096528844,24.0385518972708,19.6276323016005,12.5031212623111,0.942620507330438,16.8255935025984,70.3213414017147,72.5067865527481,84.6214291173235
"CP83-644",124.228156983757,65.1469122410339,60734.1513258975,25.3414243713394,20.0217699861612,10.5279003344288,0.999569057658658,17.2790908616878,71.3407363303586,74.6128450990791,85.1592147119752
"CP85-830",101.491181147603,64.2253751636592,75107.0761731631,23.3832369698437,18.0762335388123,13.6917631855006,0.895418231836222,14.5968762469773,70.9496133230388,62.4454773570704,79.749473688054
"DHAULU",99.7219940922717,56.1511063491386,82421.4858897215,20.3463197614042,17.9386575634422,14.3610162685975,0.658038675443081,14.3823448090545,70.4743236644873,61.7802568060913,76.9927633043113
"DIDENG",98.8547021313526,67.8853564934737,66403.1815053155,24.5005767846627,17.6131077896812,11.7852780957288,1.04561779829725,14.2166398879593,72.6262666506733,60.7015121777252,79.7015307858004
