"Genotype","TRS_kg_per_Mg_BLUP","CYMg_per_ha_BLUP","Population_BLUP","Dia_BLUP","Brix_BLUP","Fiber_BLUP","SW_kg_BLUP","Sucrose.._BLUP","Moisture_BLUP","Pol..Reading_BLUP","Purity_BLUP"
"GI 3",86.9479240405499,42.0430347010968,91256.9007601633,21.2884191426559,17.0098481106406,14.0092561010349,0.567582667068991,12.9360435081058,71.2188208532074,55.1455080889226,75.1426797141759
"KETARI",77.9765721344289,41.158363376963,70234.3904219754,18.7940786846822,15.8969295265312,12.7327248415774,0.475677046476532,11.7700928116159,73.4326767607631,49.8548626784113,73.0443439644013
"KERAH 73",74.7477251613518,50.4991468925831,158894.337658029,14.425816756119,15.6610480751675,18.4269539098905,0.328287371486323,11.3992014592755,69.6297607318113,48.6155046913486,68.5114555571778
"IN8468",113.643668608437,76.2889097379501,110120.92852545,21.1315972909956,19.455189758512,15.0136335031141,0.76064857557024,16.1218624104514,68.5740334791643,69.4600625584403,81.7887053380024
"HB07-3029-1",87.4672330365432,42.1662751194327,113805.224414686,13.022457814392,16.2018420299368,17.0986710871503,0.320873039339644,12.7421107497597,70.1526378824499,54.0831843125935,77.1383202410346
"US04-9106",98.2501718706264,76.6666565046442,147455.91077853,18.1737668927986,17.5025493589755,18.3349918643223,0.575667864932024,14.1268848620862,67.727772460347,60.2846340603323,79.6359475559408
"LAFITTE 2",83.7272425116599,44.194398848255,118828.282814666,13.6565838838217,16.2640114984383,16.6611444010926,0.365358011299891,12.4050338624284,70.3474221805765,52.9450834950615,73.3678922558001
"GI 7",NA,42.2254891842613,129273.653692449,11.6644456443703,NA,NA,0.280243698729928,NA,NA,NA,NA
"LAFITTE 1",87.4723241674928,47.0970489954125,67751.4645209978,21.2507633711195,16.9653725736016,16.2193727950721,0.535865545162468,12.9688593753361,70.1123809788428,55.5953986676856,72.261379693754
"BADILLA",83.855689258799,41.192635992375,68703.2620748902,26.0094314351112,16.0092509045615,13.8727482586737,0.521361929879366,12.3524594556375,72.5363540293082,52.3870228045019,76.1586104439745
"G17",NA,51.9925516666634,103431.914336332,NA,NA,NA,0.392065294349899,NA,NA,NA,NA
"3043-2",53.2414309067716,53.5582667300037,189136.182867148,13.6965072566111,12.4488702095613,23.4714069772756,0.301822688622048,8.4747187748363,68.00709884435,35.4078467995108,66.1935859986714
"L11-172",123.043492823371,64.8494986834385,80602.2335404291,22.0103934487073,19.789262816953,12.891277691114,0.784120917527918,17.1015229348475,69.8332403497464,73.7942781406209,84.9888107098796
"TUCCP77-042",108.438595757267,85.0384388723405,106677.354822911,22.4580590606231,18.5712493149306,13.6175203157647,0.964044596333999,15.3840232718261,70.469203442642,65.9716571866209,81.7357768663051
"GI 1",67.6148202641864,37.551586780757,71620.5718682685,12.7708615107262,14.9078441496937,17.5783877850239,0.295741075205491,10.5090897901855,71.1206463598363,44.4608802697691,68.2673532218335
"L09-117",135.28056111688,50.8801135192732,79591.4255983947,20.127387904824,20.6902437516187,11.3736923231311,0.621966053150271,18.4953574197222,69.9089156901225,80.1337321974102,88.1858306251379
