"Geno","TRS_kg_per_Mg","CYMg_per_ha","Population","Dia","Brix","Fiber","SW_kg","Sucrose..","Moisture","Pol..Reading","Purity"
"3041-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3041-3",44.4743030941187,27.505427423105,82036.7035634411,15.5595034789547,12.0704107539268,22.8309640546773,0.370359162083098,7.64194369818363,68.5660752368536,31.7596224851531,62.3926881772989
"3042-2",33.0382248456949,27.3669729182416,38030.5441313229,23.3929916607549,11.0100172527799,19.0770387812144,0.816586474725351,6.26396978026262,72.0510457764025,26.0344576587929,54.7860375276953
"3043-2",57.6708376095394,39.9140480191754,94784.477909,14.8214485221825,12.757455790476,24.7775023151812,0.344978709135394,9.06675677712064,66.2252220581441,37.8582534250311,69.7058385409991
"3043-3",45.3127547508964,30.8548056293689,79066.4837741219,15.4562041976672,11.923181473685,24.0663474000002,0.386769766882757,7.68378002155105,67.7013821478943,32.0419388070255,61.0961830781717
"3043-8",58.5760122366166,14.2966288619941,44422.0710353542,14.9211316416726,12.8183503428912,24.0259236915952,0.340099443181236,9.17348742022492,66.8518434085316,38.3389468748548,69.7097009017187
"BADILLA",86.8101686232805,28.356433106223,25806.2260505845,32.3613542215137,16.8154668277235,8.08903593237189,1.02783848580209,12.9621634068909,76.2077935309787,55.1094842566956,75.6954990182458
"CG 96-52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHIN",91.1292124298172,39.8023899287105,62768.4029468616,19.5742419178617,17.0689642227044,12.6614242384712,0.619841534984959,13.4356482572577,71.9797958943383,57.2189104773914,77.1106630675493
"CHINA",89.5634905884913,22.7661375326213,61534.295578969,16.0304105015297,17.3752247073606,16.9146312995744,0.365501299077307,13.3780596075556,68.8727993979819,57.0307268318463,75.7287227434238
"CHUKCHE",76.5419231806504,22.2867532010951,35254.6749514488,17.7202855406716,15.7760279996895,12.9655764336917,0.56990681720576,11.7035358142572,73.0784609962615,49.5019218522551,72.9616633236023
"CP52-068",111.211709260585,28.5065305077665,33460.6749514488,23.5538617253874,18.9187805582915,10.5990959235886,0.874494208896101,15.8342493000773,71.9642576417927,68.1313368053488,81.6080052777018
"CP72-370",126.46065910379,78.5039831597708,65625.4063736391,24.337828709523,21.0095684057605,11.499604911235,1.14422900474095,17.8620815648329,69.5252340827022,77.5344733048736,83.4522129816605
"CP74-383",117.728227188672,76.293621194386,59011.4847775828,24.815964877774,19.6611936476508,10.7592073495106,1.31658143403111,16.6612109681435,71.3340810675416,71.7952655075381,83.3423495235077
"CP77-407",123.996888076943,55.4670071607654,53222.4717509455,24.4736171044557,20.8112030239175,10.9694302651083,1.01471783670711,17.5790074609542,69.9949918689422,76.2055510423051,82.9279171426506
