"Geno","TRS_kg_per_Mg","CYMg_per_ha","Population","Dia","Brix","Fiber","SW_kg","Sucrose..","Moisture","Pol..Reading","Purity"
"3041-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3041-3",43.4475100269096,48.1111382530921,147155.588757638,14.5449024531844,11.765419682095,25.7320266819547,0.313669046024757,7.46191881627441,66.6435184015572,31.0374255883934,61.5163902720833
"3042-2",46.2917770195963,30.884141578476,78330.7234790529,13.8609396187336,11.2218778586746,21.1845473993312,0.323582795878479,7.56396064473894,70.7063395398217,31.4625910002349,63.5694117539146
"3043-2",40.5193055127154,53.3613828366143,235359.922095719,13.4169319088494,11.6682105790777,22.7116182843722,0.258286043361989,7.16541658592114,68.8504546620633,29.8518667517204,58.7481858222677
"3043-3",59.6256480201698,44.4074206152034,138454.739122429,15.0708333337498,12.7609414719173,25.1343485336382,0.320062992771687,9.24798395561565,66.1473554380591,38.6883681728131,69.378150342353
"3043-8",43.2713390587389,73.2611770712007,189455.939365307,14.2540144684638,12.1119211309309,25.323444542776,0.362789272082347,7.5382157127543,67.0002439232302,31.4416616881517,60.446673781378
"BADILLA",75.320450461583,27.6673572941991,59341.5848259995,25.9091758261269,15.1047914610596,18.8485061370899,0.269483777604111,11.3894234594339,69.5801348856084,48.099721660612,74.0223480963476
"CG 96-52",110.726272692315,37.0791280384323,77134.7234790529,15.6479986705819,18.9884677382119,13.4897956593312,0.557466361659729,15.8148073463291,70.193928638087,67.9663406535903,81.8245414527183
"CHIN",89.5423275121551,38.2335828215963,76954.6769142059,18.0124999999998,16.9012842871256,13.8631067829619,0.49539690429245,13.2353476463652,71.7347959832407,56.3057452257164,76.8676590370989
"CHINA",89.480375843852,12.5508198939121,50755.2992749032,14.2390928518476,16.8681409213309,17.6321272453279,0.248206571774925,13.2227600739548,68.8568577124311,56.2622801422596,76.8454908387456
"CHUKCHE",89.5723670705943,22.3950978585999,54664.2688221265,17.4711941848009,16.9968055420382,13.8222394491403,0.389486595563579,13.2670388435112,71.5169267555747,56.4525240123416,76.7869653590871
"CP52-068",113.70210910837,22.3607372483864,34646.4744434748,22.3374999999998,18.9443966281882,12.7762082581769,0.677233741901647,16.0760221018065,70.4951552425406,69.0770920839754,83.3173789431533
"CP72-370",124.289985779762,60.5801426643633,81626.289884802,23.9458333324998,20.4882587211216,12.940141650025,0.722316155694266,17.5096268587833,69.1310459780717,75.7719498056876,84.0304248842243
"CP74-383",112.797189023343,67.511659688605,80318.3968430922,22.5803199544303,19.042655204031,11.4604248835077,0.761745354966242,16.0238052752841,71.4293088466119,68.8765239221446,82.5971367928963
"CP77-407",118.770982210535,29.0267514021944,48643.237356062,22.0749999999998,19.9739881416334,11.8763314110817,0.590954565023185,16.84481533079,70.3429252060849,72.7086737732939,82.8993262574462
"CP79-318",116.318072971616,36.3145275112417,52971.5887482224,21.635284688304,19.7729213539687,12.8555248606915,0.648160490338901,16.5578147743202,70.108319844608,71.4265554290609,82.2456287433878
"CP79-348",118.953981945164,59.9658712128945,62882.9046115175,24.8416666662498,19.5747086600944,12.7344634854835,0.946686357446025,16.7495686719362,70.0690485586598,72.1620510544982,84.0320546718634
"CP83-644",123.302319751094,65.2766211711884,65125.3837755671,24.9499999999998,20.2481185451988,10.8958925615265,0.958675567754493,17.3496017673605,70.8351653710552,75.0027733334773,84.1532421041584
"CP85-830",98.8127720708603,71.3429114851577,80149.7845959495,23.1999999999998,17.9413758324676,13.7701183345728,0.911339869116014,14.4016425117399,70.8730862472205,61.5653861845794,78.8497160657687
"DHAULU",95.509214526677,51.0240708343573,75515.8912648582,19.5291666662498,17.7268877467178,13.1890499819783,0.614261304716913,14.0244947275143,71.3060810152999,60.2208566324597,74.9538067900476
"DIDENG",94.0328176274484,63.1572879577756,67461.4383600551,23.4666666662498,17.3596216419436,11.9098526431814,0.938895204844248,13.7880111843847,72.6977899192091,58.7833451072539,78.0671686540834
"DWARF1",124.472025469852,67.555990752502,90390.9797323274,20.5035256424998,20.0433853996286,14.3914318069463,0.756895089784898,17.3981277403725,68.3676653546173,75.1273611810209,85.3725517393822
"DWARF2",124.967046779656,56.5435042413157,103359.996322338,22.7125000012498,20.4368995722289,12.4743293618334,0.577859525114608,17.5571223137119,69.6571991866352,75.9546552474604,84.5240963765157
"FIJI 47",93.2125936088347,23.12198710869,28774.2652766717,25.3731654452032,16.9830395125364,12.2539438817132,0.835261887275194,13.596469034252,72.9892730915017,57.9108806340248,78.7565927541142
"FIJI1",109.020494949669,51.5537323599622,56099.761425117,25.7958333337498,18.8336075945957,14.0387986966306,0.905360609189117,15.6100430999178,69.9578917681243,67.0263262724282,81.3265648176856
"FIJI47",NA,8.17484491402458,20025.2015867083,16.1091758261269,NA,NA,0.354081160884949,NA,NA,NA,NA
"G17",NA,28.0761902936223,90889.767263742,NA,NA,NA,0.221395075791911,NA,NA,NA,NA
"GANAPATHY",75.3236530015643,69.3666986301492,166915.470197535,17.1166666674998,15.6028000378877,22.7303014869859,0.414363378230527,11.5388662790565,66.0258849216453,48.8215645579886,72.5447667509828
"GI 1",42.8243975223148,16.1665131092682,73396.4515867083,10.1350577224302,12.9349017582119,18.2391067243312,0.133611210948846,7.74108112182909,72.4509781980871,32.4335790785903,56.9494138327184
"GI 3",80.9430989423148,20.8301127340969,44692.7015867083,21.3979986705819,16.4867808782119,14.7107169843312,0.512239341942596,12.3181083813291,71.684111133087,52.3370071535903,72.9962147727184
"GI 4",55.3630802173149,24.4293302560387,116003.451586708,12.2128355000969,14.3012019582119,18.1269164793312,0.150923321062269,9.30414873982908,71.187776293087,39.4879175335903,58.4719669027183
"GI 7",NA,22.3315420881474,121384.34636103,11.1479986705819,NA,NA,0.124795859234263,NA,NA,NA,NA
"GREENGERMAN",122.750365496794,57.2207671026266,70002.6923166131,23.0249999999998,19.9881336217353,13.4951992497211,0.827130437122857,17.2229523241353,69.1401197811323,74.3641881271921,84.6365790588447
"HB07-3022-1",86.229460823107,42.8691084432952,195582.724917872,13.2041666674998,16.7295090085682,20.6624012355419,0.271375949870597,12.8796682390411,66.335265996047,54.7567373483698,75.5433843787257
"HB07-3022-2",79.259673373107,97.9972753988195,278703.937357468,14.3666666674998,15.3783852628816,20.8696598805008,0.326385801761315,11.8387822210833,67.2379653276013,50.0413619458092,75.3236966457909
"HB07-3023-1",55.5589555250334,100.947634977818,176099.135909675,19.4091758261269,12.5749810187491,22.3501548543312,0.588437218718282,8.82277302591925,68.5736869313524,36.8681148619457,67.9101442215221
"HB07-3023-2",42.689288668531,48.2120882362551,101188.87235802,17.7402678370572,11.4834926964656,21.2647920144627,0.398876978117341,7.2897232450073,70.4553325104038,30.324830595695,61.5680456658261
"HB07-3023-5",83.6513783658226,36.7361816221889,141818.663577794,13.7330128199998,16.8315619570705,21.0941314294009,0.261957188891973,12.6684760299276,65.8836071344753,53.8828730547441,73.9471002956727
"HB07-3029-1",88.2532495528652,30.8639998348465,119674.199516523,12.2309240410189,16.3736390199549,16.88640547169,0.272398789095459,12.9700644241777,70.2022907723324,55.1129535262061,76.9013330917364
"HB07-3045-11",86.0612439608108,66.0199689081449,148052.755418269,15.6195109714243,16.5583162628489,22.2919202262408,0.431738392741665,12.809689666995,65.0104305665464,54.392470710163,76.1161061489994
"HB07-3045-12",83.6776273689619,92.5705532862053,211858.731209313,14.1666666662498,16.585865734489,22.5577871895825,0.438312914223378,12.6028623626242,65.0879729031247,53.5407909466701,74.6015624455174
"HB07-3045-2",85.969175862602,84.3879512697608,249008.643744431,14.4583333324998,16.000527215753,20.3963837017882,0.342498693348368,12.6426101012193,66.9313703363827,53.5579364374086,77.6737643416885
"HB07-3073-2",89.5120963085564,69.9596799452974,294858.5449682,12.2534516892137,16.300246700266,20.3985610755866,0.238372957805425,13.0611725607275,66.5486017448317,55.3924486337654,78.8242306017554
"HB07-3073-3",92.0196499079611,58.617201174021,231274.973730269,11.3291666662498,16.5934052548879,20.1290779180834,0.249613261084243,13.3804010174757,66.5760615020091,56.8597176635995,78.8920591322601
"HB07-3073-6",81.0068037719718,77.68873734363,250466.917244971,14.1791666662498,15.626583409729,19.8282828730477,0.30072862974719,12.0685772308072,67.8742807521678,51.0391574784985,76.0564286807061
"HB07-3073-8",90.0582276505873,68.3808826114414,274873.224773182,13.3916666662498,16.5825135189261,21.3811022712575,0.254918287621737,13.1959602798348,65.8418598398853,56.0650540355206,78.0953250548586
"HB07-3101-2",74.8922232839088,37.424148696616,170271.451586708,12.5229986705819,15.3940750396995,20.4835393043312,0.189823226929776,11.4372669319657,67.4048852669986,48.3342011908051,72.7029560264504
"HB07-3114-3",51.6806863799083,61.1627879089759,165693.422063771,14.8812241799442,12.1591671881916,22.8732775403254,0.341098101106315,8.34116311300759,68.6792485875076,34.7058960274703,67.2589276261089
"HB07-3114-5",65.0281166949409,70.4872507385793,189274.429283209,13.5459002831884,12.8665478304098,29.3729237769868,0.332777912308267,9.7866558535932,62.7587826224553,40.9063722639921,74.187990448732
"HB07-3114-8",56.5213776890692,41.1821252958842,116799.565330897,14.2578907103595,12.2217841386779,27.8088087687327,0.347062757072205,8.81301246707629,64.7218698920102,36.7225372745788,70.6794088451316
"HB07-3114-9",58.608154505124,76.1794045630323,168877.502469088,15.2500000012498,12.8379986564026,24.9145203628557,0.46895834981146,9.17837660867502,66.4605336122643,38.3645539471463,69.7267655176369
"HB07-3115-7",38.6309078545292,45.1108483428859,145959.588745889,13.1647519807998,11.7662830612147,24.1580485635286,0.30544699146187,7.01351373295187,67.7132224942269,29.1285460367057,59.0424566559133
"HB07-3261-1",77.1407801414776,30.1659384412724,291073.689073261,10.4750000003748,15.6922389405288,19.6270205343294,0.112919875906177,11.7422139646323,68.081658116691,49.7247519523463,73.1223159593788
"HB07-3261-8",63.0934503173149,31.0812133966397,134391.951586708,9.02299867058192,13.7240764132119,21.4246535993312,0.144464094050339,9.85541971182909,68.3089890630871,41.3670726885903,69.9181851927183
"HB07-3329-3",73.4510736818812,87.6332883762585,200889.36471623,14.6833333324998,15.0306345390491,22.1938174236272,0.434682167740481,11.1985919992145,67.0157993844329,47.2624513253,72.815188649029
"HB07-3329-5",99.6717937023326,32.4642024862545,94875.4461284804,14.4458333324998,17.9005766787419,17.4088118245576,0.348350548776756,14.4767889204313,68.1551159806855,61.9087678079075,79.1337400794133
"HB07-3329-8",72.6242083237924,53.6778339744812,130064.300751888,15.0958333337498,14.8725403507554,19.1583077503793,0.41812530662347,11.0743494504918,69.408167332438,46.6691901251427,73.1685816492264
"HB07-3452-3",65.2173287256231,30.2845990086661,184836.297653227,10.6777109617357,14.1185300342419,23.5867513578397,0.165043602152099,10.1651813418096,66.2043730597067,42.6856535748592,70.7959393086765
"HB07-3452-4",87.7114404301245,53.9389261506362,320656.956282361,11.0541666662498,16.5793587103796,23.6794074603468,0.167034131351917,12.9764022772237,64.1941639613477,55.1322551325231,76.8915083135945
